Starting dataset building...
Starting dataset building...
Completed and saved FINAL batch 2585 with 142 rows to ztf_pipeline_output\batch_2585.parquet
Dataset complete: 518284 samples saved in ztf_pipeline_output
Loading all batches...
Total dataset size: 518284 samples.
Starting training...
[0]	test-logloss:0.45003
[1]	test-logloss:0.32022
[2]	test-logloss:0.23890
[3]	test-logloss:0.18453
[4]	test-logloss:0.14720
[5]	test-logloss:0.12060
[6]	test-logloss:0.10138
[7]	test-logloss:0.08747
[8]	test-logloss:0.07706
[9]	test-logloss:0.06908
[10]	test-logloss:0.06317
[11]	test-logloss:0.05912
[12]	test-logloss:0.05579
[13]	test-logloss:0.05346
[14]	test-logloss:0.05097
[15]	test-logloss:0.04874
[16]	test-logloss:0.04762
[17]	test-logloss:0.04673
[18]	test-logloss:0.04550
[19]	test-logloss:0.04447
[20]	test-logloss:0.04322
[21]	test-logloss:0.04235
[22]	test-logloss:0.04144
[23]	test-logloss:0.04044
[24]	test-logloss:0.03962
[25]	test-logloss:0.03901
[26]	test-logloss:0.03837
[27]	test-logloss:0.03764
[28]	test-logloss:0.03730
[29]	test-logloss:0.03709
[30]	test-logloss:0.03655
[31]	test-logloss:0.03630
[32]	test-logloss:0.03577
[33]	test-logloss:0.03552
[34]	test-logloss:0.03499
[35]	test-logloss:0.03468
[36]	test-logloss:0.03405
[37]	test-logloss:0.03377
[38]	test-logloss:0.03340
[39]	test-logloss:0.03300
[40]	test-logloss:0.03286
[41]	test-logloss:0.03273
[42]	test-logloss:0.03227
[43]	test-logloss:0.03220
[44]	test-logloss:0.03218
[45]	test-logloss:0.03169
[46]	test-logloss:0.03154
[47]	test-logloss:0.03152
[48]	test-logloss:0.03134
[49]	test-logloss:0.03110
[50]	test-logloss:0.03087
[51]	test-logloss:0.03061
[52]	test-logloss:0.03047
[53]	test-logloss:0.03038
[54]	test-logloss:0.02997
[55]	test-logloss:0.02994
[56]	test-logloss:0.02971
[57]	test-logloss:0.02947
[58]	test-logloss:0.02943
[59]	test-logloss:0.02924
[60]	test-logloss:0.02893
[61]	test-logloss:0.02886
[62]	test-logloss:0.02872
[63]	test-logloss:0.02868
[64]	test-logloss:0.02836
[65]	test-logloss:0.02812
[66]	test-logloss:0.02790
[67]	test-logloss:0.02782
[68]	test-logloss:0.02780
[69]	test-logloss:0.02767
[70]	test-logloss:0.02763
[71]	test-logloss:0.02763
[72]	test-logloss:0.02739
[73]	test-logloss:0.02730
[74]	test-logloss:0.02715
[75]	test-logloss:0.02701
[76]	test-logloss:0.02701
[77]	test-logloss:0.02699
[78]	test-logloss:0.02697
[79]	test-logloss:0.02696
[80]	test-logloss:0.02681
[81]	test-logloss:0.02676
[82]	test-logloss:0.02675
[83]	test-logloss:0.02666
[84]	test-logloss:0.02662
[85]	test-logloss:0.02661
[86]	test-logloss:0.02660
[87]	test-logloss:0.02658
[88]	test-logloss:0.02658
[89]	test-logloss:0.02645
[90]	test-logloss:0.02630
[91]	test-logloss:0.02624
[92]	test-logloss:0.02613
[93]	test-logloss:0.02604
[94]	test-logloss:0.02597
[95]	test-logloss:0.02593
[96]	test-logloss:0.02585
[97]	test-logloss:0.02577
[98]	test-logloss:0.02569
[99]	test-logloss:0.02567
[100]	test-logloss:0.02566
[101]	test-logloss:0.02565
[102]	test-logloss:0.02565
[103]	test-logloss:0.02550
[104]	test-logloss:0.02547
[105]	test-logloss:0.02545
[106]	test-logloss:0.02545
[107]	test-logloss:0.02540
[108]	test-logloss:0.02542
[109]	test-logloss:0.02539
[110]	test-logloss:0.02540
[111]	test-logloss:0.02540
[112]	test-logloss:0.02539
[113]	test-logloss:0.02537
[114]	test-logloss:0.02528
[115]	test-logloss:0.02529
[116]	test-logloss:0.02530
[117]	test-logloss:0.02526
[118]	test-logloss:0.02519
[119]	test-logloss:0.02517
[120]	test-logloss:0.02510
[121]	test-logloss:0.02509
[122]	test-logloss:0.02508
[123]	test-logloss:0.02506
[124]	test-logloss:0.02502
[125]	test-logloss:0.02500
[126]	test-logloss:0.02501
[127]	test-logloss:0.02499
[128]	test-logloss:0.02493
[129]	test-logloss:0.02491
[130]	test-logloss:0.02491
[131]	test-logloss:0.02486
[132]	test-logloss:0.02483
[133]	test-logloss:0.02478
[134]	test-logloss:0.02473
[135]	test-logloss:0.02470
[136]	test-logloss:0.02468
[137]	test-logloss:0.02467
[138]	test-logloss:0.02466
[139]	test-logloss:0.02464
[140]	test-logloss:0.02463
[141]	test-logloss:0.02463
[142]	test-logloss:0.02462
[143]	test-logloss:0.02460
[144]	test-logloss:0.02455
[145]	test-logloss:0.02451
[146]	test-logloss:0.02447
[147]	test-logloss:0.02448
[148]	test-logloss:0.02446
[149]	test-logloss:0.02441
[150]	test-logloss:0.02442
[151]	test-logloss:0.02441
[152]	test-logloss:0.02443
[153]	test-logloss:0.02442
[154]	test-logloss:0.02439
[155]	test-logloss:0.02438
[156]	test-logloss:0.02433
[157]	test-logloss:0.02433
[158]	test-logloss:0.02434
[159]	test-logloss:0.02431
[160]	test-logloss:0.02429
[161]	test-logloss:0.02430
[162]	test-logloss:0.02429
[163]	test-logloss:0.02429
[164]	test-logloss:0.02429
[165]	test-logloss:0.02427
[166]	test-logloss:0.02428
[167]	test-logloss:0.02428
[168]	test-logloss:0.02427
[169]	test-logloss:0.02428
[170]	test-logloss:0.02426
[171]	test-logloss:0.02427
[172]	test-logloss:0.02427
[173]	test-logloss:0.02426
[174]	test-logloss:0.02424
[175]	test-logloss:0.02423
[176]	test-logloss:0.02422
[177]	test-logloss:0.02421
[178]	test-logloss:0.02419
[179]	test-logloss:0.02415
[180]	test-logloss:0.02416
[181]	test-logloss:0.02411
[182]	test-logloss:0.02410
[183]	test-logloss:0.02406
[184]	test-logloss:0.02405
[185]	test-logloss:0.02405
[186]	test-logloss:0.02401
[187]	test-logloss:0.02402
[188]	test-logloss:0.02399
[189]	test-logloss:0.02400
[190]	test-logloss:0.02398
[191]	test-logloss:0.02398
[192]	test-logloss:0.02400
[193]	test-logloss:0.02401
[194]	test-logloss:0.02400
[195]	test-logloss:0.02401
[196]	test-logloss:0.02397
[197]	test-logloss:0.02395
[198]	test-logloss:0.02393
[199]	test-logloss:0.02392
Precision:  0.9881892318674426 Recall:  0.9909114572035921 F1:  0.9895484723440665
              precision    recall  f1-score   support

           0       0.99      0.99      0.99     57517
           1       0.99      0.99      0.99     46102

    accuracy                           0.99    103619
   macro avg       0.99      0.99      0.99    103619
weighted avg       0.99      0.99      0.99    103619

Saved Confusion Matrix image.
Model, scaler, and test results saved.
